"","sdLow","sdHigh","nMA","PD Ratio"
"1",2.2,2.8,10,-27720.87
"2",2.1,2.8,10,-27246.9
"3",2.4,2.8,10,-26813.5
"4",2.2,3,10,-26604.43
"5",2.3,2.8,10,-26474.69
"6",2.2,3.2,10,-26234.69
"7",2.2,3.6,10,-26190.11
"8",2.1,3,10,-26098.27
"9",2,2.8,10,-25998.9
"10",2.1,3.2,10,-25734.06
"11",2.2,2.6,10,-25711.1
"12",2.4,3,10,-25618.91
"13",2.1,3.6,10,-25492.16
"14",2.3,3,10,-25267.75
"15",2.4,3.2,10,-25239.83
"16",2.1,2.6,10,-25194.06
"17",2.4,3.6,10,-25184.35
"18",1.8,2.8,10,-24916.12
"19",2.3,3.2,10,-24903.96
"20",2.3,3.6,10,-24851.12
"21",2,3,10,-24844.27
"22",2.4,2.6,10,-24807.88
"23",2.2,2.4,10,-24589.3
"24",2.2,3.4,10,-24570.08
"25",2,3.2,10,-24512.39
"26",2.3,2.6,10,-24481.22
"27",2,3.6,10,-24250.93
"28",1.9,2.8,10,-24194.19
"29",2.1,2.4,10,-24061.19
"30",2.1,3.4,10,-24059.03
"31",2.4,2.4,10,-23969.34
"32",2,2.6,10,-23955.78
"33",1.8,3,10,-23781.46
"34",2.4,3.4,10,-23614.35
"35",1.8,3.2,10,-23441.67
"36",2.3,2.4,10,-23356.85
"37",1.7,2.8,10,-23280.44
"38",2.3,3.4,10,-23229.04
"39",2.4,3.8,10,-23108.85
"40",1.9,3,10,-23083.88
"41",2,2.4,10,-22849.2
"42",2,3.4,10,-22833.4
"43",1.8,2.6,10,-22807.72
"44",1.9,3.2,10,-22751.01
"45",1.8,3.6,10,-22708.45
"46",2.4,4,10,-22512.58
"47",2.1,4.2,20,-22329.39
"48",1.7,3,10,-22118.7
"49",2.1,3.8,20,-22096
"50",1.9,2.6,10,-22093.25
"51",2.2,3.8,10,-22006.9
"52",1.9,3.6,10,-22004
"53",2.1,3.4,20,-21912.61
"54",2.1,3.6,20,-21867.65
"55",1.7,3.2,10,-21794.83
"56",1.8,2.4,10,-21793.81
"57",1.8,3.4,10,-21746.46
"58",2.1,4.4,20,-21623.22
"59",2.4,4.2,10,-21546.68
"60",2.2,4,10,-21443.12
"61",2.1,4,20,-21402.97
"62",2.1,3.8,10,-21316.38
"63",1.7,2.6,10,-21145.98
"64",1.9,3.4,10,-21046.27
"65",1.7,3.6,10,-21045.41
"66",2.1,3.2,20,-21000.25
"67",1.9,2.4,10,-20863.24
"68",2.1,4,10,-20756.06
"69",2.2,4.2,20,-20725.3
"70",2.3,3.8,10,-20676.95
"71",2.2,3.8,20,-20550.85
"72",2.4,4.4,10,-20527.78
"73",2.2,4.2,10,-20469.27
"74",2.2,3.4,20,-20353.23
"75",2.2,3.6,20,-20302.67
"76",1.7,2.4,10,-20097.91
"77",2.2,4.4,20,-20062.94
"78",1.7,3.4,10,-20050.77
"79",2.3,4,10,-20047.49
"80",2,3.8,10,-20047.37
"81",2.1,3,20,-19985.36
"82",2.2,4,20,-19819.88
"83",2.1,4.2,10,-19757.6
"84",2.3,4.2,20,-19648.48
"85",2,4,10,-19497.1
"86",1.9,4.2,20,-19487.46
"87",2.2,4.4,10,-19462.67
"88",2.3,3.8,20,-19433.95
"89",2.2,3.2,20,-19385.87
"90",2.3,3.4,20,-19236.19
"91",1.9,3.4,20,-19221.78
"92",2.3,3.6,20,-19197.42
"93",1.9,3.8,20,-19152.43
"94",2.3,4.2,10,-19068.89
"95",1.9,3.6,20,-18961.96
"96",2.3,4.4,20,-18949.59
"97",1.9,3.2,20,-18823.85
"98",2,4.2,20,-18782.23
"99",2.1,4.4,10,-18773.33
"100",2.3,4,20,-18711.22
"101",1.9,4.4,20,-18689.32
"102",2.1,2.8,20,-18642.02
"103",1.9,4,20,-18547.23
"104",2,4.2,10,-18530.42
"105",2,3.4,20,-18508.31
"106",1.8,3.8,10,-18468.42
"107",2,3.8,20,-18455.97
"108",2.2,3,20,-18382.19
"109",2.4,4.2,20,-18324.2
"110",2.3,3.2,20,-18303.59
"111",2,3.6,20,-18258.64
"112",1.6,2.8,10,-18237.57
"113",2.4,3.8,20,-18175.99
"114",2.3,4.4,10,-18066.41
"115",2,4.4,20,-18002.97
"116",2.4,3.4,20,-17990.97
"117",2.4,3.6,20,-17942.39
"118",2,4,20,-17864.51
"119",1.9,3,20,-17834.76
"120",1.9,3.8,10,-17772.59
"121",2.4,4.4,20,-17634.27
"122",2,3.2,20,-17565.88
"123",2,4.4,10,-17526.45
"124",2.4,4,20,-17394.49
"125",2.3,3,20,-17270.78
"126",2.4,3.2,20,-17084.22
"127",1.6,3,10,-17041.55
"128",1.9,2.8,20,-17029.74
"129",2.2,2.8,20,-17015.46
"130",1.7,3.8,10,-16796.66
"131",1.6,3.2,10,-16711.03
"132",2,3,20,-16541.98
"133",1.8,4.2,20,-16538.88
"134",2.1,2.4,20,-16445.44
"135",1.8,3.4,20,-16293.68
"136",1.8,3.8,20,-16184.39
"137",1.6,2.6,10,-16090.32
"138",2.1,2.6,20,-16061.42
"139",1.8,3.6,20,-16049.82
"140",2.4,3,20,-16049.23
"141",2.3,2.8,20,-15923.49
"142",1.8,4.4,20,-15765.13
"143",2,2.8,20,-15729.83
"144",1.8,3.2,20,-15727.72
"145",1.8,4,20,-15584.07
"146",1.6,2.4,10,-15373.58
"147",1.6,3.6,10,-15290.55
"148",2.2,2.4,20,-14949.49
"149",1.9,2.4,20,-14846.47
"150",1.6,3.4,10,-14811.83
"151",2.4,2.8,20,-14715.85
"152",1.8,3,20,-14715.45
"153",1.6,3.4,30,-14567.19
"154",2.2,2.6,20,-14565.95
"155",2.3,2.4,20,-14563.03
"156",1.6,3.2,30,-14541.94
"157",1.6,3.6,30,-14500.38
"158",1.9,2.6,20,-14489.84
"159",2.3,2.6,20,-14415.33
"160",2.4,2.6,20,-14247.74
"161",2.4,2.4,20,-14226.54
"162",1.6,3.8,30,-14193.2
"163",1.8,2.8,20,-14003.83
"164",1.8,4,10,-13717.98
"165",1.7,4.2,20,-13585.73
"166",2,2.4,20,-13580.52
"167",1.7,3.4,20,-13414.17
"168",2.3,3.4,30,-13343.29
"169",2.3,3.2,30,-13329.23
"170",1.7,3.8,20,-13328.14
"171",1.7,3.4,30,-13314.48
"172",1.7,3.2,30,-13308.88
"173",1.7,3.6,30,-13266.92
"174",1.8,4.2,10,-13228.68
"175",2,2.6,20,-13223.71
"176",1.7,3.6,20,-13183.95
"177",1.7,4.4,20,-13177.81
"178",2.1,3.6,30,-13126.8
"179",1.6,3,30,-13086.36
"180",2.3,3.6,30,-13025.43
"181",1.9,4,10,-13022.31
"182",2.1,3.4,30,-12903.52
"183",1.7,3.2,20,-12886.26
"184",1.6,2.8,30,-12874.46
"185",2.1,3.2,30,-12854.69
"186",1.7,3.8,30,-12831.77
"187",2.2,3.4,30,-12808.93
"188",2.2,3.2,30,-12769.19
"189",1.6,2.6,30,-12742.68
"190",1.7,4,20,-12646.87
"191",2.1,3.8,30,-12570.47
"192",2.3,3.8,30,-12495.67
"193",2.2,3.6,30,-12479.96
"194",1.7,4,10,-12465.7
"195",1.8,3.6,30,-12458.39
"196",1.6,4,30,-12412.78
"197",1.8,4.4,10,-12190.62
"198",1.6,4.2,20,-12188.92
"199",2.4,3.2,30,-12085.86
"200",1.8,3.4,30,-12051.35
"201",1.9,4.2,10,-12041.78
"202",1.8,3.8,30,-12037.81
"203",1.8,3.2,30,-12029.59
"204",1.6,3.4,20,-11999.32
"205",2.2,3.8,30,-11965.29
"206",1.6,3.8,20,-11954.94
"207",1.8,2.4,20,-11950.65
"208",1.7,4.2,10,-11931.39
"209",1.6,4.4,30,-11863.03
"210",1.7,3,20,-11852.14
"211",1.6,4.4,20,-11763.63
"212",1.6,3.6,20,-11758.94
"213",2.3,3,30,-11705.84
"214",2,3.6,30,-11610.71
"215",1.8,2.6,20,-11535.08
"216",2.1,3,30,-11526.49
"217",1.6,4.2,30,-11523.11
"218",1.7,3,30,-11448.05
"219",1.6,3.2,20,-11371.28
"220",2.4,3.4,30,-11359.13
"221",2,3.4,30,-11357.64
"222",2,3.2,30,-11294.08
"223",2.3,2.8,30,-11251.56
"224",2.1,2.6,30,-11242.88
"225",1.7,2.6,30,-11242.74
"226",1.6,4,20,-11215.04
"227",1.7,2.8,30,-11195.04
"228",1.8,4,30,-11145.52
"229",2.2,3,30,-11127.51
"230",1.7,2.8,20,-11095.63
"231",2.1,2.8,30,-11091.4
"232",2.4,3.6,30,-11068.63
"233",1.7,4,30,-11066.28
"234",1.6,3.8,10,-11033.02
"235",1.9,4.4,10,-11017.6
"236",2.3,4.4,30,-10995.91
"237",1.7,4.4,10,-10890.84
"238",2,3.8,30,-10887.43
"239",2.1,4,30,-10840.52
"240",2.3,4.2,30,-10824.84
"241",1.6,2.4,30,-10802.7
"242",2.3,4,30,-10730.92
"243",2.3,2.6,30,-10696.24
"244",2.2,2.8,30,-10675.07
"245",2.4,3,30,-10589.08
"246",1.7,4.4,30,-10496.78
"247",2.4,3.8,30,-10495.5
"248",2.2,4.4,30,-10454.16
"249",1.9,3.6,30,-10399.1
"250",1.8,4.4,30,-10371.41
"251",1.6,3,20,-10349.12
"252",1.6,2.8,20,-10290.52
"253",2.2,4.2,30,-10269.63
"254",1.8,3,30,-10221.01
"255",2.2,4,30,-10177.29
"256",1.7,4.2,30,-10174.99
"257",2.4,2.8,30,-10112.33
"258",1.9,3.4,30,-10105.03
"259",1.9,3.2,30,-10046.64
"260",1.8,4.2,30,-10026.39
"261",2.2,2.6,30,-9999.89
"262",1.8,2.8,30,-9985.97
"263",2,3,30,-9973.86
"264",1.9,3.8,30,-9941.52
"265",2.1,4.4,30,-9880.05
"266",1.8,2.6,30,-9870.34
"267",2,2.6,30,-9816.72
"268",2.1,4.2,30,-9674.59
"269",2,2.8,30,-9655.84
"270",2.4,2.6,30,-9626.49
"271",2.4,4.4,30,-9359.89
"272",2.1,2.4,30,-9296.09
"273",1.7,2.4,30,-9163.73
"274",2.4,4.2,30,-9144.95
"275",1.9,4,30,-9100.44
"276",1.7,2.4,20,-9072.24
"277",2.4,4,30,-9061.64
"278",2,4,30,-9039.4
"279",1.9,3,30,-8789.17
"280",1.9,2.8,30,-8785.42
"281",2.3,2.4,30,-8764.43
"282",1.9,2.6,30,-8711.38
"283",1.7,2.6,20,-8546.49
"284",1.6,2.4,20,-8287.38
"285",1.9,4.4,30,-8174.64
"286",2,4.4,30,-8074.66
"287",2.4,2.4,30,-8056.6
"288",2.2,2.4,30,-8016.98
"289",1.9,4.2,30,-8003.19
"290",2,4.2,30,-7882.39
"291",2,2.4,30,-7813.52
"292",1.6,2.6,20,-7776.42
"293",1.8,2.4,30,-7717.72
"294",1.6,4,10,-6758.11
"295",1.9,2.4,30,-6713.06
"296",1.6,4.2,10,-6383.81
"297",1.6,4.4,10,-5356.79
